date,pm2_5,pm10,no2,so2,co,ozone,station
2025-09-05,21.71,64.79,15.69,6.0,1.08,26.71,BENGELURU
2025-09-06,23.76,68.73,15.53,5.57,0.28,26.87,BENGELURU
2025-09-07,17.55,77.6,17.09,4.49,0.87,24.79,BENGELURU
2025-09-08,16.63,60.79,17.14,5.07,0.9,25.76,BENGELURU
2025-09-09,19.06,81.66,16.85,5.87,0.7528387096774194,27.87,BENGELURU
2025-09-10,19.79,77.53526315789475,16.74,3.94,0.52,23.75,BENGELURU
2025-09-11,19.42,85.41,22.45,6.79,0.67,19.24,BENGELURU
2025-09-12,20.27,53.67,19.63,6.17,0.72,19.84,BENGELURU
2025-10-01,52.44,102.92,13.48,7.71,0.94,23.06,BENGELURU
2025-10-02,24.91042944785276,77.53526315789475,17.70012195121951,6.292418300653595,0.7528387096774194,26.116134969325156,BENGELURU
2025-10-03,39.27,77.1,17.63,6.292418300653595,0.18,28.85,BENGELURU
2025-10-04,42.52,75.87,15.18,7.1,0.04,28.11,BENGELURU
2025-10-05,22.34,63.66,15.21,6.64,0.82,28.15,BENGELURU
2025-10-06,27.04,74.64,15.78,5.89,0.71,28.88,BENGELURU
2025-10-07,15.28,71.93,16.92,3.75,0.9,24.81,BENGELURU
2025-10-08,15.48,55.45,17.57,4.7,1.2,25.86,BENGELURU
2025-10-09,24.07,79.66,16.84,4.08,0.62,27.88,BENGELURU
2025-10-10,17.05,77.53526315789475,15.88,3.97,0.52,23.81,BENGELURU
2025-10-11,29.45,106.62,23.53,8.96,0.93,19.26,BENGELURU
2025-10-12,18.96,52.18,19.65,6.84,0.71,19.84,BENGELURU
2025-11-01,43.25,84.89,13.51,7.82,0.75,23.06,BENGELURU
2025-11-02,42.03,82.5,17.53,7.7,1.02,36.41,BENGELURU
2025-11-03,37.06,72.76,17.71,6.292418300653595,0.5,29.09,BENGELURU
2025-11-04,24.52,67.65,15.35,7.1,0.64,29.08,BENGELURU
2025-11-05,19.21,56.9,15.48,4.48,0.74,28.05,BENGELURU
2025-11-06,31.58,76.02,15.75,5.89,0.99,28.93,BENGELURU
2025-11-07,15.48,68.82,16.53,3.29,0.92,24.73,BENGELURU
2025-11-08,17.75,63.16,16.71,5.48,1.41,25.81,BENGELURU
2025-11-09,20.78,70.33,16.83,4.84,4.44,27.8,BENGELURU
2025-11-10,18.56,77.53526315789475,16.13,3.75,0.52,23.8,BENGELURU
2025-11-11,20.15,109.4,22.27,7.63,0.66,19.26,BENGELURU
2025-11-12,23.15,54.64,19.24,6.97,0.76,19.92,BENGELURU
2025-12-01,38.46,75.52,13.69,7.23,0.67,22.51,BENGELURU
2025-12-02,44.58,87.51,17.64,7.75,1.09,26.116134969325156,BENGELURU
2025-12-03,30.13,59.18,17.59,6.292418300653595,0.59,31.93,BENGELURU
2025-12-04,22.13,60.86,15.92,5.78,1.05,29.01,BENGELURU
2025-12-05,18.43,50.27,15.97,6.3,0.86,27.93,BENGELURU
2025-12-06,25.63,66.23,15.61,5.07,0.4,28.86,BENGELURU
2025-12-07,14.55,63.77,17.27,3.35,0.91,24.8,BENGELURU
2025-12-08,17.94,65.49,17.39,4.37,0.33,25.82,BENGELURU
2025-12-09,19.95,86.72,16.29,4.74,0.98,27.81,BENGELURU
2025-12-10,18.21,77.53526315789475,16.08,2.93,0.54,23.8,BENGELURU
2025-12-11,20.34,104.03,22.59,7.58,0.68,19.2,BENGELURU
2025-12-12,22.78,56.69,19.47,6.52,0.76,19.9,BENGELURU
2026-01-01,23.35,116.23,19.96,8.26,0.69,20.84,BENGELURU
2026-01-02,17.59,84.53,20.4,7.43,0.16,20.92,BENGELURU
2026-02-01,21.4,101.29,20.01,7.36,0.69,20.81,BENGELURU
2026-02-02,19.29,102.36,20.09,7.54,0.19,20.89,BENGELURU
2026-03-01,29.88,103.0,20.45,8.78,0.7,20.89,BENGELURU
2026-03-02,20.24,108.03,20.11,8.97,0.21,20.88,BENGELURU
2026-04-01,18.58,94.5,20.43,7.17,0.69,20.96,BENGELURU
2026-04-02,16.42,88.34,20.84,8.4,0.18,20.93,BENGELURU
2026-05-01,19.18,97.99,20.23,8.21,0.7,20.99,BENGELURU
