station,date,to_date,pm25,pm10,no2,so2,co,ozone
AHEMEDABAD,,25-05-2025 00:00,44.95,83.54,12.8,8.98,0.16,45.1
AHEMEDABAD,,26-05-2025 00:00,66.89,125.57,12.14,8.21,0.21,35.93
AHEMEDABAD,,27-05-2025 00:00,53.76,93.23,14.62,6.29,0.36,38.32
AHEMEDABAD,,28-05-2025 00:00,70.96,128.04,16.85,4.11,0.36,15.8
AHEMEDABAD,,29-05-2025 00:00,50.13,88.65,15.752,2.84,0.346,8.63
AHEMEDABAD,,30-05-2025 00:00,39.62,68.27,14.654,3.16,0.33199999999999996,9.73
AHEMEDABAD,,31-05-2025 00:00,51.46,91.68,13.556000000000001,2.92,0.31799999999999995,8.2
AHEMEDABAD,,01-06-2025 00:00,43.55,78.22,12.458,2.64,0.304,7.54
AHEMEDABAD,,14-06-2025 00:00,59.18,101.98,11.36,5.87,0.29,15.96
AHEMEDABAD,,15-06-2025 00:00,53.13,96.84,11.82,5.59,0.23,21.45
AHEMEDABAD,,16-06-2025 00:00,20.06,38.63,10.97,5.49,0.07,33.09
