city,latitude,longitude,pollutant,value,last_updated,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m,temperature,humidity,wind_speed,wind_direction,hour,month,day_of_week
"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,so2,7.85,2026-03-01 13:00:00+00:00,8.25,72.74,5764.7,5174.66,20.8,64,5.57,98,13,3,6
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,so2,16.66,2026-03-03 12:15:00+00:00,7.7,4077.92,1928.09,5000.0,25.64,16,1.64,294,12,3,1
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,o3,81.01,2026-03-03 12:15:00+00:00,7.7,4077.92,1928.09,5000.0,25.64,16,1.64,294,12,3,1
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,co,0.43,2026-03-03 12:15:00+00:00,7.7,4077.92,1928.09,5000.0,25.64,16,1.64,294,12,3,1
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,pm25,38.7,2026-03-03 12:15:00+00:00,7.7,4077.92,1928.09,5000.0,25.64,16,1.64,294,12,3,1
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,no2,46.43,2026-03-03 12:15:00+00:00,7.7,4077.92,1928.09,5000.0,25.64,16,1.64,294,12,3,1
"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,pm10,120.33,2026-03-03 12:15:00+00:00,7.7,4077.92,1928.09,5000.0,25.64,16,1.64,294,12,3,1
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,pm10,87.3,2026-03-03 12:15:00+00:00,183.9,5000.0,2375.45,5000.0,23.1,17,1.89,10,12,3,1
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,pm25,36.7,2026-03-03 12:15:00+00:00,183.9,5000.0,2375.45,5000.0,23.1,17,1.89,10,12,3,1
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,so2,7.79,2026-03-03 12:15:00+00:00,183.9,5000.0,2375.45,5000.0,23.1,17,1.89,10,12,3,1
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,no2,71.3,2026-03-03 12:15:00+00:00,183.9,5000.0,2375.45,5000.0,23.1,17,1.89,10,12,3,1
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,o3,72.01,2026-03-03 12:15:00+00:00,183.9,5000.0,2375.45,5000.0,23.1,17,1.89,10,12,3,1
"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,co,0.91,2026-03-03 12:15:00+00:00,183.9,5000.0,2375.45,5000.0,23.1,17,1.89,10,12,3,1
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,pm10,138.0,2026-03-03 12:30:00+00:00,13.09,174.14,5587.24,5000.0,28.26,16,0.56,3,12,3,1
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,no2,27.0,2026-03-03 12:30:00+00:00,13.09,174.14,5587.24,5000.0,28.26,16,0.56,3,12,3,1
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,o3,26.41,2026-03-03 12:30:00+00:00,13.09,174.14,5587.24,5000.0,28.26,16,0.56,3,12,3,1
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,pm25,44.0,2026-03-03 12:30:00+00:00,13.09,174.14,5587.24,5000.0,28.26,16,0.56,3,12,3,1
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,co,0.1,2026-03-03 12:30:00+00:00,13.09,174.14,5587.24,5000.0,28.26,16,0.56,3,12,3,1
"Sirifort, Delhi - CPCB",28.5504249,77.2159377,so2,24.96,2026-03-03 12:30:00+00:00,13.09,174.14,5587.24,5000.0,28.26,16,0.56,3,12,3,1
"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,co,0.63,2026-03-03 12:15:00+00:00,21.48,1328.17,5000.0,5000.0,26.69,13,1.08,239,12,3,1
"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,o3,91.14,2026-03-03 12:15:00+00:00,21.48,1328.17,5000.0,5000.0,26.69,13,1.08,239,12,3,1
"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,so2,3.53,2026-03-03 12:15:00+00:00,21.48,1328.17,5000.0,5000.0,26.69,13,1.08,239,12,3,1
