country,state,city,station,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,PM2.5,79,127,102
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,SO2,5,17,9
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,CO,26,82,39
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",11.55358,76.55521,NO2,15,36,27
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",30.1480566,77.2893471,O3,8,33,28
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991,PM2.5,42,217,102
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991,PM10,59,181,115
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991,CO,44,72,51
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC",34.031606,75.009712,PM2.5,42,94,68
India,Jammu_and_Kashmir,Srinagar,"Khunmoh, Srinagar - JKPCC",34.06313,74.96017,SO2,3,4,4
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",8.8787,76.6073,PM10,72,81,76
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",8.8787,76.6073,NO2,9,10,9
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",8.8787,76.6073,CO,14,18,15
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",8.8787,76.6073,O3,29,38,38
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865,O3,36,37,37
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879,PM10,81,109,94
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",13.328028,75.797056,PM10,61,78,67
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381,NH3,6,7,6
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381,SO2,12,12,12
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381,CO,50,117,56
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",17.336318,76.847397,PM2.5,23,60,48
